Horizon,Accuracy,Precision,Recall,F1_score,AUC,correct_down,incorrect_down,correct_up,incorrect_up,OBV,%K,%D,MACD,Signal
1,0.7110266159695817,0.6933202831491805,0.7635135135135135,0.7483443708609271,0.7666797232014624,0.6434782608695652,0.3565217391304348,0.7635135135135135,0.23648648648648649,0.15876532505201071,0.27388337037460225,0.23272316675092505,0.1690556973183828,0.16557244050407924
2,0.7186311787072244,0.6849875256805724,0.7686915887850467,0.7477272727272726,0.792140212804515,0.6592797783933518,0.3407202216066482,0.7686915887850467,0.23130841121495327,0.17138061232553756,0.26028114357771054,0.2133885793845553,0.17837435732354673,0.1765753073886499
3,0.7325728770595691,0.7240514985954571,0.7416481069042317,0.7594070695553022,0.810248264116337,0.7205882352941176,0.27941176470588236,0.7416481069042317,0.2583518930957684,0.18251740613441733,0.24812145946282382,0.2109725459470311,0.17833213816148077,0.18005645029424694
4,0.7401774397972116,0.7022560039387213,0.8069767441860465,0.771968854282536,0.8254388806115178,0.6601671309192201,0.3398328690807799,0.8069767441860465,0.1930232558139535,0.19835098065880685,0.23128663811020622,0.19775225601205196,0.1891558020171479,0.18345432320178712
5,0.7667934093789607,0.7309954683548264,0.8074245939675174,0.7909090909090908,0.8337081491658997,0.7178770949720671,0.28212290502793297,0.8074245939675174,0.1925754060324826,0.20113416335895457,0.22602690547670662,0.19171022007662178,0.1967640155386581,0.18436469554905893
6,0.7655259822560203,0.7280356644184557,0.7934272300469484,0.7851335656213705,0.8308824480399384,0.7327823691460055,0.26721763085399447,0.7934272300469484,0.20657276995305165,0.2130141734292772,0.2109474227726342,0.20191872200652305,0.19088869433018155,0.183230987461384
7,0.7832699619771863,0.7315581795120238,0.841726618705036,0.8041237113402062,0.8539652149248342,0.717741935483871,0.28225806451612906,0.841726618705036,0.15827338129496402,0.21703559194367658,0.20564911449055664,0.19076668502983715,0.20195056623024726,0.18459804230568222
8,0.7782002534854245,0.7415712667475874,0.8060747663551402,0.7976878612716762,0.860243482538121,0.7451523545706371,0.2548476454293629,0.8060747663551402,0.1939252336448598,0.23207007780949937,0.20692491813029712,0.1817566046877419,0.19531632756084483,0.1839320718116169
9,0.7680608365019012,0.7285706980061553,0.8436781609195402,0.8004362050163578,0.8579225923761283,0.6751412429378532,0.3248587570621469,0.8436781609195402,0.15632183908045977,0.23593960514447665,0.19507266794199116,0.1844837225967384,0.1945698806126926,0.1899341237041011
10,0.7515842839036755,0.7435084251559128,0.7869565217391304,0.7869565217391304,0.8402239989427779,0.7021276595744681,0.2978723404255319,0.7869565217391304,0.21304347826086956,0.23453446600518707,0.192153025597675,0.180412100345459,0.19841849306936676,0.1944819149823121
