Horizon,Accuracy,Precision,Recall,F1_score,AUC,correct_down,incorrect_down,correct_up,incorrect_up,OBV,%K,%D,MACD,Signal
1,0.7402298850574712,0.6835672030651341,0.8044444444444444,0.7621052631578947,0.8091534391534391,0.6714285714285714,0.32857142857142857,0.8044444444444444,0.19555555555555557,0.20177425060937879,0.16359593075967246,0.17678871699600687,0.2289333059959295,0.2289077956390123
2,0.7908045977011494,0.7648515557711952,0.819672131147541,0.8146639511201629,0.8581881383572226,0.7539267015706806,0.24607329842931938,0.819672131147541,0.18032786885245902,0.21775519960636355,0.16270224534816866,0.18197737212000842,0.22021053664017742,0.21735464628528203
3,0.8,0.7460190970449635,0.8458149779735683,0.8152866242038217,0.8862461877329719,0.75,0.25,0.8458149779735683,0.15418502202643172,0.22870397783964336,0.16144776697749882,0.17684228255007095,0.21722628702132682,0.21577968561146002
4,0.8137931034482758,0.7586531068707626,0.8728070175438597,0.8308977035490606,0.9099182134079159,0.748792270531401,0.25120772946859904,0.8728070175438597,0.12719298245614036,0.24199636823719745,0.16551063717179687,0.17271954771876682,0.21147268007943384,0.20830076679280496
5,0.8551724137931035,0.8153734291652457,0.8695652173913043,0.8639308855291576,0.9356309650053022,0.8390243902439024,0.16097560975609757,0.8695652173913043,0.13043478260869565,0.25548588606379213,0.1630308210895742,0.16825216464397894,0.21331439581184114,0.1999167323908135
6,0.8482758620689655,0.8119967541092881,0.8728813559322034,0.8619246861924688,0.9292330295545523,0.8190954773869347,0.18090452261306533,0.8728813559322034,0.1271186440677966,0.2583535443981231,0.16531957089299926,0.16636419762376303,0.20354919694629708,0.20641349013881752
7,0.8666666666666667,0.8255231577744528,0.8864628820960698,0.875,0.9324733963624031,0.8446601941747572,0.1553398058252427,0.8864628820960698,0.11353711790393013,0.2599818199342904,0.16097301970870032,0.1663471613896557,0.21813436230952812,0.1945636366578255
8,0.8620689655172413,0.8272806621704727,0.8808510638297873,0.8734177215189874,0.9409361702127659,0.84,0.16,0.8808510638297873,0.11914893617021277,0.27596209253167764,0.1693645603358843,0.15349805609429124,0.20161947853246606,0.19955581250568077
9,0.8896551724137931,0.868125920914845,0.9016393442622951,0.9016393442622952,0.9361320916659515,0.8743455497382199,0.1256544502617801,0.9016393442622951,0.09836065573770492,0.2779672065998475,0.15040606542235155,0.1539026585732025,0.21897893356360087,0.19874513584099746
10,0.9103448275862069,0.8884539234524303,0.9357429718875502,0.9227722772277227,0.9653668437189619,0.8763440860215054,0.12365591397849462,0.9357429718875502,0.0642570281124498,0.2938297283052377,0.15269756353567837,0.15051786843341458,0.20348497673342153,0.1994698629922479
11,0.8781609195402299,0.8510206814155646,0.9012345679012346,0.8920570264765785,0.9435442386831276,0.8489583333333334,0.15104166666666666,0.9012345679012346,0.09876543209876543,0.29149979200993675,0.14976391875277895,0.1503636844237935,0.21311058929728158,0.19526201551620923
12,0.864367816091954,0.8348976869589897,0.8930041152263375,0.8803245436105477,0.9447766632373114,0.828125,0.171875,0.8930041152263375,0.10699588477366255,0.30296630150189713,0.14822998554752204,0.1538318540265347,0.19705747980630198,0.19791437911774404
13,0.8919540229885058,0.8673133626689794,0.9190283400809717,0.906187624750499,0.9486497545008183,0.8563829787234043,0.14361702127659576,0.9190283400809717,0.08097165991902834,0.3207912186000812,0.14375734249769376,0.14828068524280144,0.202838575275298,0.18433217838412555
14,0.8942528735632184,0.8607859963253809,0.9475806451612904,0.9108527131782945,0.9636881145420046,0.8235294117647058,0.17647058823529413,0.9475806451612904,0.05241935483870968,0.3141379886033915,0.14908906881243464,0.15140502247602405,0.19687195417610126,0.18849596593204856
