Horizon,Accuracy,Precision,Recall,F1_score,AUC,correct_down,incorrect_down,correct_up,incorrect_up,OBV,%K,%D,MACD,Signal
1,0.7439446366782007,0.7163405503547384,0.7950310559006211,0.7757575757575758,0.8103285131987576,0.6796875,0.3203125,0.7950310559006211,0.20496894409937888,0.17056440397453992,0.2654016162902866,0.2173076218028955,0.17658332481046193,0.17014303312181617
2,0.7335640138408305,0.7391557415861894,0.7851002865329513,0.7806267806267807,0.8118079103114325,0.6550218340611353,0.34497816593886466,0.7851002865329513,0.2148997134670487,0.17933790765868646,0.2428510249157323,0.21390726561285056,0.18744662375169474,0.17645717806103592
3,0.7923875432525952,0.7600151449816472,0.8662613981762918,0.826086956521739,0.8761855934375802,0.6947791164658634,0.30522088353413657,0.8662613981762918,0.1337386018237082,0.19580624500228477,0.24111622395433366,0.18893555452579597,0.18678308091777981,0.18735889559980579
4,0.7785467128027682,0.7572080647027272,0.8145896656534954,0.8072289156626506,0.8557207553618731,0.7309236947791165,0.26907630522088355,0.8145896656534954,0.18541033434650456,0.20799353425414094,0.22728545403700268,0.19662602066378185,0.18380440456717229,0.18429058647790214
5,0.7941176470588235,0.7593016232599024,0.8885542168674698,0.8321579689703807,0.8681371828778529,0.6666666666666666,0.3333333333333333,0.8885542168674698,0.11144578313253012,0.21857798757594996,0.2202580950708722,0.18589736595983372,0.18934137319051433,0.18592517820282983
6,0.8079584775086506,0.7996878363426443,0.8405797101449275,0.8393632416787264,0.8880574734092183,0.759656652360515,0.24034334763948498,0.8405797101449275,0.15942028985507245,0.22999395288654678,0.20723400475923354,0.18444109181210655,0.19306266871993658,0.18526828182217656
7,0.8166089965397924,0.7811632310743523,0.8871951219512195,0.8459302325581395,0.8792987804878049,0.724,0.276,0.8871951219512195,0.11280487804878049,0.2380432102405586,0.2022851479006329,0.180196545421406,0.19543162375999232,0.1840434726774102
8,0.7975778546712803,0.7644587527588226,0.8825301204819277,0.833570412517781,0.8846728376922324,0.6829268292682927,0.3170731707317073,0.8825301204819277,0.11746987951807229,0.24689363021692967,0.19914999095670724,0.1753348259279108,0.19450839920656113,0.18411315369189116
9,0.8269896193771626,0.805832785450998,0.8930635838150289,0.8607242339832869,0.9004945684672114,0.728448275862069,0.27155172413793105,0.8930635838150289,0.1069364161849711,0.24152632956464865,0.200875449303279,0.18461469503410846,0.19295039016833238,0.18003313592963135
10,0.8027681660899654,0.7803482014205577,0.8605341246290801,0.8357348703170029,0.8780735560289101,0.7219917012448133,0.27800829875518673,0.8605341246290801,0.1394658753709199,0.2529022415082295,0.1995082213618652,0.1770899759918015,0.18894376057734977,0.18155580056075404
