Horizon,Accuracy,Precision,Recall,F1_score,AUC,correct_down,incorrect_down,correct_up,incorrect_up,OBV,%K,%D,MACD,Signal
1,0.7474048442906575,0.7288333561631597,0.8072289156626506,0.785923753665689,0.8194362817122147,0.6666666666666666,0.3333333333333333,0.8072289156626506,0.1927710843373494,0.16635317109548986,0.25697057640323173,0.21714109201228726,0.17889110784027581,0.1806440526487154
2,0.745674740484429,0.7186587631761842,0.8159509202453987,0.7835051546391751,0.8269001363326518,0.6547619047619048,0.34523809523809523,0.8159509202453987,0.18404907975460122,0.18314876054750912,0.24154894807265812,0.2048698918539364,0.19077306274699002,0.1796593367789064
3,0.7854671280276817,0.7599630739638475,0.8429003021148036,0.8181818181818182,0.8446860819257067,0.708502024291498,0.291497975708502,0.8429003021148036,0.15709969788519637,0.19390341294341215,0.24457791364396292,0.18482495090137,0.19423236149006073,0.1824613610211943
4,0.7802768166089965,0.7735039158152177,0.836676217765043,0.8213783403656821,0.8596363909360493,0.6943231441048034,0.3056768558951965,0.836676217765043,0.16332378223495703,0.20999847107768782,0.22144400343724815,0.19566872373431823,0.19503498653753426,0.17785381521321159
5,0.7854671280276817,0.763564463513947,0.8516320474777448,0.822349570200573,0.867201447972715,0.6929460580912863,0.3070539419087137,0.8516320474777448,0.14836795252225518,0.21564204538609175,0.21681141204211343,0.18231464564505542,0.20011129329828953,0.18512060362844981
6,0.7854671280276817,0.7361289554173296,0.8617363344051447,0.8121212121212122,0.8750135481773186,0.6966292134831461,0.30337078651685395,0.8617363344051447,0.1382636655948553,0.21806469516699525,0.2079410176720867,0.18282038726545083,0.20164874896986693,0.18952515092560027
7,0.8027681660899654,0.7973687212441538,0.8461538461538461,0.8389830508474577,0.8737904288565082,0.73568281938326,0.2643171806167401,0.8461538461538461,0.15384615384615385,0.23274844485916582,0.20428010552478548,0.18308926373430373,0.19789568307867195,0.1819865028030729
8,0.801038062283737,0.76444495041071,0.8566978193146417,0.8270676691729323,0.8770985611597997,0.7315175097276264,0.26848249027237353,0.8566978193146417,0.14330218068535824,0.24361119940304915,0.19483140763012483,0.18697434377151986,0.19701830691069042,0.17756474228461572
9,0.8477508650519031,0.8340470227740105,0.8914285714285715,0.8764044943820225,0.9242418546365915,0.7807017543859649,0.21929824561403508,0.8914285714285715,0.10857142857142857,0.249597925074425,0.20040371100563545,0.17450783105190107,0.18981057771720197,0.18567995515083666
10,0.78719723183391,0.7695616253367104,0.8604651162790697,0.827972027972028,0.8725278274696879,0.6794871794871795,0.32051282051282054,0.8604651162790697,0.13953488372093023,0.248876367865098,0.20066118615577339,0.1783867121668363,0.19242114915508357,0.1796545846572087
11,0.8339100346020761,0.8125921226959982,0.8924418604651163,0.8647887323943663,0.9093371099185052,0.7478632478632479,0.25213675213675213,0.8924418604651163,0.10755813953488372,0.24998127853923152,0.18988690943980407,0.1755785513457485,0.19454404685241827,0.19000921382279753
12,0.7993079584775087,0.774021610058381,0.8761061946902655,0.836619718309859,0.8853630540230311,0.6903765690376569,0.30962343096234307,0.8761061946902655,0.12389380530973451,0.25402016296527136,0.19035024680618176,0.16375137063037642,0.20417262716921802,0.1877055924289523
13,0.8062283737024222,0.7917599375052957,0.867816091954023,0.8435754189944134,0.8802348825587206,0.7130434782608696,0.28695652173913044,0.867816091954023,0.13218390804597702,0.25070414708407507,0.18098360649130882,0.18139032487567633,0.20305218689791935,0.18386973465102052
14,0.828719723183391,0.7928747557178997,0.8963414634146342,0.8558951965065502,0.9042621951219513,0.74,0.26,0.8963414634146342,0.10365853658536585,0.26163087264346735,0.17068057186776753,0.16037393976253866,0.2085480362634338,0.19876657946279264
15,0.8442906574394463,0.833890431421672,0.9065934065934066,0.88,0.9220755879634384,0.7383177570093458,0.2616822429906542,0.9065934065934066,0.09340659340659341,0.25767046236437685,0.17040688106520574,0.16871510349438296,0.21044119899247782,0.19276635408355658
16,0.8166089965397924,0.8094416778335172,0.8676056338028169,0.853185595567867,0.9097896797827323,0.7354260089686099,0.2645739910313901,0.8676056338028169,0.1323943661971831,0.2676294002918015,0.17247447505446978,0.16102773152087382,0.20268221679027948,0.19618617634257543
