Horizon,Accuracy,Precision,Recall,F1_score,AUC,correct_down,incorrect_down,correct_up,incorrect_up,OBV,%K,%D,MACD,Signal
1,0.7097591888466414,0.671175226425393,0.71875,0.7230955259975816,0.7816076768405857,0.6997319034852547,0.3002680965147453,0.71875,0.28125,0.1879248634197672,0.17182408932957435,0.17665258832044142,0.23340664760947105,0.23019181132074593
2,0.7858048162230672,0.754792039051655,0.8087557603686636,0.8059701492537312,0.8683195949892906,0.7577464788732394,0.24225352112676057,0.8087557603686636,0.1912442396313364,0.19708189524475045,0.17623128758206896,0.17535214225171375,0.23076292936519835,0.2205717455562685
3,0.8288973384030418,0.7689696176957901,0.8811881188118812,0.8406139315230224,0.9081522437958081,0.7740259740259741,0.22597402597402597,0.8811881188118812,0.1188118811881188,0.20530612723110417,0.18110350561125915,0.1772594100807984,0.21480684647406426,0.221524110602774
4,0.8035487959442332,0.7585229187437491,0.8329355608591885,0.8182883939038686,0.8857027672063471,0.7702702702702703,0.22972972972972974,0.8329355608591885,0.16706443914081145,0.22392856026659047,0.17667056451125443,0.1702237386376917,0.213846439830128,0.21533069675433542
5,0.8149556400506971,0.7964692122244242,0.8285077951002228,0.8359550561797753,0.8987685051748985,0.7970588235294118,0.20294117647058824,0.8285077951002228,0.1714922048997773,0.22623947960562857,0.17430287156555585,0.17315436961683536,0.2103181349444294,0.21598514426755083
6,0.8542458808618505,0.8215128221546667,0.872093023255814,0.8670520231213873,0.9245416855606658,0.8328690807799443,0.1671309192200557,0.872093023255814,0.12790697674418605,0.22504162255180515,0.1782058115933561,0.17473412589221532,0.20844225180143724,0.21357618816118623
7,0.8719898605830165,0.8550776334875418,0.88,0.8868980963045914,0.9360799737790888,0.8613569321533924,0.13864306784660768,0.88,0.12,0.23330884344849595,0.1768027522090769,0.17693350331572782,0.19838273313833812,0.21457216788836123
8,0.8288973384030418,0.7936653274564607,0.8721461187214612,0.8498331479421579,0.9050950318073606,0.7749287749287749,0.22507122507122507,0.8721461187214612,0.1278538812785388,0.23373596264751564,0.17987291786682535,0.1717216277306379,0.19712345065102496,0.21754604110399606
9,0.8681875792141952,0.8373502084084884,0.8865740740740741,0.8804597701149426,0.9429206867932358,0.84593837535014,0.15406162464985995,0.8865740740740741,0.11342592592592593,0.25057055426085845,0.1675281418148224,0.17329174053749785,0.19446151025051614,0.21414805313630508
10,0.8567807351077313,0.823926025426099,0.8714953271028038,0.8684516880093132,0.9357023584539312,0.8393351800554016,0.16066481994459833,0.8714953271028038,0.12850467289719625,0.24455742631619556,0.16857972188741974,0.16843214046954577,0.19680568537385065,0.22162502595298839
11,0.861850443599493,0.8342274727707135,0.8868778280542986,0.8779395296752519,0.937606765162283,0.829971181556196,0.17002881844380405,0.8868778280542986,0.11312217194570136,0.24420139519679915,0.17271442106465892,0.16741451065966645,0.1974111612369634,0.21825851184191214
12,0.8732572877059569,0.8607979186886071,0.8823529411764706,0.8901098901098901,0.9439459959067802,0.8606060606060606,0.1393939393939394,0.8823529411764706,0.11764705882352941,0.24330335015629376,0.1666475471943052,0.16658039739365307,0.20179479810826287,0.22167390714748522
13,0.8656527249683144,0.8444543089147074,0.8707482993197279,0.8787185354691075,0.9501589907993848,0.8591954022988506,0.14080459770114942,0.8707482993197279,0.1292517006802721,0.24769360223057335,0.16440265972015342,0.16292207533005143,0.20521966349699947,0.21976199922222225
14,0.8732572877059569,0.8373846813820551,0.9178082191780822,0.8893805309734514,0.9388049799008704,0.8176638176638177,0.18233618233618235,0.9178082191780822,0.0821917808219178,0.2492062265538631,0.1635377437699018,0.16419997744051137,0.20331447172314385,0.21974158051257991
15,0.8593155893536122,0.8405118719506222,0.8654708520179372,0.8742921857304642,0.9303723411209456,0.8513119533527697,0.14868804664723032,0.8654708520179372,0.13452914798206278,0.2508619341262828,0.1671477609304543,0.1628490989737735,0.20331181003009624,0.215829395939393
