Horizon,Accuracy,Precision,Recall,F1_score,AUC,correct_down,incorrect_down,correct_up,incorrect_up,OBV,%K,%D,MACD,Signal
1,0.7503168567807351,0.6965348846997061,0.770935960591133,0.7606318347509112,0.826972051087474,0.7284595300261096,0.27154046997389036,0.770935960591133,0.229064039408867,0.18325669950069975,0.20261772701230704,0.19762239130617545,0.216848429340881,0.19965475283993675
2,0.8022813688212928,0.7348928732763482,0.8451776649746193,0.8102189781021899,0.8822238642935167,0.759493670886076,0.24050632911392406,0.8451776649746193,0.1548223350253807,0.20097785024039577,0.1914856795104918,0.18890988719187812,0.2188554632874346,0.19977111976979983
3,0.788339670468948,0.7477297232251122,0.8052256532066508,0.8023668639053255,0.8756519157285965,0.7690217391304348,0.23097826086956522,0.8052256532066508,0.19477434679334918,0.21219090942501545,0.19083993064891103,0.18550149319747283,0.21390417385608265,0.19756349287251818
4,0.7845373891001267,0.7136783160995902,0.8286445012787724,0.7921760391198044,0.8781182125461064,0.7412060301507538,0.25879396984924624,0.8286445012787724,0.17135549872122763,0.2190327950856697,0.17909991197988978,0.18041442567985022,0.2160442101814754,0.20540865707311498
5,0.8377693282636248,0.8021106853200111,0.8680555555555556,0.8542141230068337,0.9038346820209565,0.8011204481792717,0.19887955182072828,0.8680555555555556,0.13194444444444445,0.23030418028592894,0.1816100541160567,0.17326261979092192,0.21428273246977853,0.20054041333731396
6,0.8301647655259823,0.7722623004697128,0.8926829268292683,0.8452655889145497,0.9117896904562712,0.762532981530343,0.23746701846965698,0.8926829268292683,0.1073170731707317,0.23748836748578797,0.1749504261680921,0.16977840925377172,0.21163991127831397,0.2061428858140343
7,0.8187579214195184,0.7854718882530972,0.8587699316628702,0.8405797101449276,0.9075496257728604,0.7685714285714286,0.23142857142857143,0.8587699316628702,0.14123006833712984,0.23978309314840784,0.16824732652672708,0.17199093299514143,0.21425038770183252,0.2057282596278911
8,0.835234474017744,0.7957833109050986,0.877030162412993,0.853273137697517,0.9234565580888929,0.7849162011173184,0.21508379888268156,0.877030162412993,0.12296983758700696,0.2524849308636942,0.16352795147823948,0.1645806607317771,0.20877568146706252,0.21063077545922657
9,0.8605830164765526,0.8288268295431287,0.8822170900692841,0.874141876430206,0.9271382048420999,0.8342696629213483,0.16573033707865167,0.8822170900692841,0.11778290993071594,0.2526156803733174,0.15867877433409291,0.1691549681037596,0.21507936484392012,0.20447121234491006
10,0.8542458808618505,0.8312548978753898,0.8613636363636363,0.8682703321878579,0.915804897108622,0.8452722063037249,0.15472779369627507,0.8613636363636363,0.13863636363636364,0.25401027448421715,0.16416463955002944,0.1632763732958275,0.21456987959125906,0.2039788330786668
11,0.8580481622306717,0.8247400498430096,0.8899082568807339,0.8738738738738739,0.9284897471216571,0.8186968838526912,0.1813031161473088,0.8899082568807339,0.11009174311926606,0.2641287454406549,0.16324748966986533,0.16792309526796564,0.21117744152762782,0.19352322809388617
12,0.844106463878327,0.8292595752535246,0.844097995545657,0.8603859250851305,0.9230970784750425,0.8441176470588235,0.15588235294117647,0.844097995545657,0.155902004454343,0.2655458100862758,0.16884185753491907,0.1607206648674965,0.21396646756723603,0.1909251999440726
13,0.8491761723700887,0.8112419281034352,0.8729411764705882,0.8617886178861789,0.9119489334195217,0.8214285714285714,0.17857142857142858,0.8729411764705882,0.12705882352941175,0.2635402978263385,0.16526379187014748,0.16000137453718177,0.21922989083396724,0.191964644932365
14,0.8783269961977186,0.8419860488175124,0.91415313225058,0.8914027149321267,0.9448307819932856,0.835195530726257,0.164804469273743,0.91415313225058,0.08584686774941995,0.27024492547218426,0.16571785653947793,0.16606245546652848,0.2050326744349764,0.19294208808683286
15,0.8567807351077313,0.8046688052992438,0.9132530120481928,0.8702640642939149,0.9379840216480897,0.7941176470588235,0.20588235294117646,0.9132530120481928,0.08674698795180723,0.2679348380323104,0.1629924441766482,0.1685419047268475,0.2113578674854672,0.18917294557872671
16,0.8555133079847909,0.8139934066147935,0.8779904306220095,0.8655660377358492,0.9338075033209094,0.8301886792452831,0.16981132075471697,0.8779904306220095,0.12200956937799043,0.27631834862246746,0.15885884811346707,0.16866811429472855,0.20464352254347756,0.1915111664258594
17,0.85297845373891,0.8052737211867712,0.9023809523809524,0.8672768878718535,0.9338850174216028,0.7967479674796748,0.2032520325203252,0.9023809523809524,0.09761904761904762,0.279364459885035,0.1607511366677514,0.1590639710360685,0.21040265741474906,0.19041777499639592
18,0.8453738910012675,0.8033686258775495,0.9032258064516129,0.8653421633554084,0.9285259946777439,0.7746478873239436,0.22535211267605634,0.9032258064516129,0.0967741935483871,0.28500587553741114,0.16024192337358356,0.15753692942710704,0.2021846516892672,0.19503061997263108
19,0.8542458808618505,0.811373436492745,0.8857142857142857,0.8661233993015134,0.9275358110723965,0.8184281842818428,0.18157181571815717,0.8857142857142857,0.11428571428571428,0.28165335663452024,0.15698702379658985,0.1590326804101615,0.20567899914627416,0.19664794001245434
20,0.8656527249683144,0.8299112611430707,0.9059633027522935,0.8816964285714285,0.9356791069989864,0.8158640226628895,0.18413597733711048,0.9059633027522935,0.09403669724770643,0.29345031456441106,0.15152989426001612,0.15347292665600595,0.20121785411843,0.20032901040113685
21,0.8377693282636248,0.8129211103743618,0.8473804100227791,0.853211009174312,0.9277253498210218,0.8257142857142857,0.1742857142857143,0.8473804100227791,0.15261958997722094,0.29252854149761837,0.14980931165448294,0.15973456453980078,0.19869499886105213,0.19923258344704572
22,0.8948035487959443,0.8649939075132392,0.9325842696629213,0.9090909090909091,0.9537300757773713,0.8459302325581395,0.15406976744186046,0.9325842696629213,0.06741573033707865,0.2998454663271044,0.14794591193646825,0.1533395476890873,0.20642772736254617,0.19244134668479396
23,0.870722433460076,0.8496285994755808,0.8913525498891353,0.8874172185430463,0.9373253388262769,0.8431952662721893,0.15680473372781065,0.8913525498891353,0.10864745011086474,0.30330010589416834,0.1434201813480813,0.15460049155630512,0.19612704139120718,0.202552179810238
24,0.8808618504435995,0.8509165096408492,0.9140271493212669,0.8957871396895787,0.9627218433372019,0.8386167146974063,0.16138328530259366,0.9140271493212669,0.08597285067873303,0.30212630336363017,0.1453021231411257,0.1558497872002436,0.20124802177475293,0.19547376452024764
25,0.8656527249683144,0.8365201143487411,0.9064587973273942,0.8847826086956522,0.9426405083191406,0.8117647058823529,0.18823529411764706,0.9064587973273942,0.0935412026726058,0.3028318732609627,0.14812250907781657,0.14959946624868997,0.2019662754704599,0.1974798759420708
26,0.8922686945500634,0.8648080650677972,0.9209932279909706,0.9056603773584905,0.9599746865173084,0.8554913294797688,0.14450867052023122,0.9209932279909706,0.07900677200902935,0.3039013394241075,0.1475608003556899,0.15091862833277234,0.1966983612206424,0.2009208706667877
