Horizon,Accuracy,Precision,Recall,F1_score,AUC,correct_down,incorrect_down,correct_up,incorrect_up,OBV,%K,%D,MACD,Signal
1,0.7385159010600707,0.7175201022990723,0.8012422360248447,0.7771084337349397,0.7723755218409531,0.6557377049180327,0.3442622950819672,0.8012422360248447,0.19875776397515527,0.17701832609947712,0.25262871167011286,0.2051632120416342,0.1831910449520602,0.18199870523671555
2,0.7667844522968198,0.7347843184283847,0.8571428571428571,0.8070175438596492,0.8399093778637614,0.6475409836065574,0.3524590163934426,0.8571428571428571,0.14285714285714285,0.19454108762177488,0.22231583484868517,0.1895449526270946,0.19673620217914708,0.19686192272329847
3,0.7985865724381626,0.7845726754431519,0.8786127167630058,0.8421052631578947,0.8477141355754072,0.6727272727272727,0.32727272727272727,0.8786127167630058,0.12138728323699421,0.20499864010878968,0.20024390898521974,0.1833544440968072,0.2053571169026254,0.20604588990655792
4,0.8268551236749117,0.807286928266745,0.8809523809523809,0.8579710144927536,0.8947204968944099,0.7478260869565218,0.25217391304347825,0.8809523809523809,0.11904761904761904,0.21995726443793076,0.1910359658200886,0.1822085465318398,0.1972972551780439,0.2095009680320968
5,0.8091872791519434,0.7926039299900577,0.8562874251497006,0.8411764705882353,0.8782263060086725,0.7413793103448276,0.25862068965517243,0.8562874251497006,0.1437125748502994,0.24133418857834926,0.18696924236388773,0.15685479761593618,0.19537234190385122,0.21946942953797563
6,0.8021201413427562,0.756538452194241,0.8701298701298701,0.8271604938271604,0.8695006543843753,0.7209302325581395,0.27906976744186046,0.8701298701298701,0.12987012987012986,0.2544591566601931,0.16937875284887713,0.14985308186495616,0.20887308435604807,0.2174359242699257
7,0.8268551236749117,0.7970506254429872,0.8757763975155279,0.851963746223565,0.9135016800733122,0.7622950819672131,0.23770491803278687,0.8757763975155279,0.12422360248447205,0.2503270458015854,0.1583543739788985,0.14809202420118478,0.20744920693031874,0.2357773490880125
8,0.8445229681978799,0.8505295333434645,0.8651685393258427,0.875,0.915676832530765,0.8095238095238095,0.19047619047619047,0.8651685393258427,0.1348314606741573,0.250634803938273,0.15806941311853803,0.15440326030866444,0.21396745579877674,0.2229250668357478
9,0.8657243816254417,0.8294005493548026,0.910828025477707,0.882716049382716,0.9358254979274088,0.8095238095238095,0.19047619047619047,0.910828025477707,0.08917197452229299,0.2669493102446589,0.15063071009031587,0.14846090120306418,0.20742733617612288,0.22653174228583825
10,0.8657243816254417,0.8457448142176399,0.9041916167664671,0.8882352941176471,0.9327637827792691,0.8103448275862069,0.1896551724137931,0.9041916167664671,0.09580838323353294,0.2866872541993731,0.13765512468807878,0.13512099399365068,0.21465930155918433,0.2258773255597132
